pick,player,position,nfl_team,salary,fantasy_team
120,Rome Odunze,WR,Chi,1,Congrats on the w...
121,Tyjae Spears,RB,Ten,1,MERDY
122,Ezekiel Elliott,RB,Dal,1,jamie's Ingenious...
123,Will Levis,QB,Ten,2,The Big Arch
124,Sam Darnold,QB,Sea,1,Team Taruchus
125,Bo Nix,QB,Den,1,King
126,Blake Corum,RB,LAR,1,Who needs a qb?
127,Hollywood Brown,WR,Phi,1,Collusion Campers
128,Chase Brown,RB,Cin,1,The Big Arch
129,Zack Moss,RB,Cin,1,Congrats on the w...
130,Derek Carr,QB,NO,1,MERDY
131,Nick Chubb,RB,Hou,1,FNU
132,Keon Coleman,WR,Buf,1,Team Taruchus
133,Courtland Sutton,WR,Den,1,King
134,Brian Thomas Jr.,WR,Jax,1,Who needs a qb?
135,David Njoku,TE,LAC,1,Collusion Campers
136,Ladd McConkey,WR,LAC,1,Congrats on the w...
137,Jayden Reed,WR,GB,1,MERDY
138,Austin Ekeler,RB,Was,1,FNU
139,Jonathon Brooks,RB,Car,1,Team Taruchus
140,Evan McPherson,K,Cin,1,King
141,Jets,DEF,NYJ,1,Who needs a qb?
142,Khalil Shakir,WR,Buf,1,Collusion Campers
143,Bryce Young,QB,Car,1,Congrats on the w...
144,Jaylen Warren,RB,Pit,1,MERDY
145,Russell Wilson,QB,NYG,1,FNU
146,Trey Benson,RB,Ari,1,Team Taruchus
147,Chuba Hubbard,RB,Car,1,Who needs a qb?
148,Chiefs,DEF,KC,1,Collusion Campers
149,Bills,DEF,Buf,1,Congrats on the w...
150,Curtis Samuel,WR,Buf,1,MERDY
151,Tyler Lockett,WR,LV,1,FNU
152,Younghoe Koo,K,NYG,1,Team Taruchus
153,Tyler Conklin,TE,Det,1,Collusion Campers
154,Ka'imi Fairbairn,K,Hou,1,Congrats on the w...
155,J.K. Dobbins,RB,Den,1,MERDY
156,Jordan Addison,WR,Min,1,FNU
157,Browns,DEF,Cle,1,Team Taruchus
158,Tyler Allgeier,RB,Ari,1,Congrats on the w...
159,Jason Sanders,K,NYJ,1,MERDY
160,Bears,DEF,Chi,1,MERDY
